pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_mass,st_rad,sy_snum,sy_pnum,discoverymethod,disc_year
"OGLE-2016-BLG-1067L b","OGLE-2016-BLG-1067L",14.30000000,1.40000000000000e+02,,1.7000000000,,,,0.300000,,1,1,"Microlensing",2019
"Kepler-1987 c","Kepler-1987",1.33000000,,3.64830183000,0.0427000000,860.00,129.4400,4769.00,0.799000,0.714000,1,4,"Transit",2023
"Kepler-1985 b","Kepler-1985",2.27000000,,3.42064689000,0.0426000000,1129.00,382.6800,5370.00,0.877000,0.966000,1,1,"Transit",2023
"Kepler-1987 b","Kepler-1987",1.23000000,,2.34586300200,0.0318000000,997.00,233.3800,4769.00,0.799000,0.714000,1,4,"Transit",2023
"Kepler-1801 c","Kepler-1801",2.91000000,,116.58318300000,0.4572000000,371.00,4.4700,5738.00,0.936000,0.981000,1,2,"Transit",2023
"EPIC 249893012 c","EPIC 249893012",3.67000000,1.46700000000000e+01,15.62400000000,0.1300000000,990.00,160.0000,5430.00,1.050000,1.710000,1,3,"Transit",2020
"EPIC 249893012 d","EPIC 249893012",3.94000000,1.01800000000000e+01,35.74700000000,0.2200000000,752.00,53.0000,5430.00,1.050000,1.710000,1,3,"Transit",2020
"WASP-180 A b","WASP-180 A",13.89916000,2.86047000000000e+02,3.40926400000,0.0480000000,1540.00,918.3877,6600.00,1.300000,1.190000,2,1,"Transit",2019
"WASP-2 b","WASP-2",12.11692900,2.95899730000000e+02,2.15217500000,0.0314400000,1311.00,492.0000,5180.00,0.895000,0.866000,2,1,"Transit",2007
"Kepler-949 c","Kepler-949",2.97000000,,20.99757968000,0.1394000000,582.00,27.2000,5211.00,0.817000,0.895000,1,2,"Transit",2023
"Kepler-311 d","Kepler-311",2.05000000,,232.04032600000,0.7326000000,327.00,2.7100,5903.00,0.974000,1.156000,1,3,"Transit",2023
"WASP-44 b","WASP-44",12.32990000,2.76512100000000e+02,2.42380400000,0.0345300000,1337.00,533.0000,5420.00,0.935000,0.906000,1,1,"Transit",2011
"WASP-45 b","WASP-45",10.60371400,3.06388120000000e+02,3.12608900000,0.0396300000,1153.00,294.0000,5150.00,0.850000,0.855000,2,1,"Transit",2011
"Kepler-1834 c","Kepler-1834",1.22000000,,0.76669151700,0.0150000000,1541.00,1334.2200,4821.00,0.765000,0.788000,1,2,"Transit",2023
"HATS-47 b","HATS-47",12.52045300,1.17279270000000e+02,3.92280380000,0.0426900000,852.90,87.7300,4512.00,0.674000,0.656400,1,1,"Transit",2020
"GJ 15 A c","GJ 15 A",6.67000000,,7600.00000000000,5.4000000000,46.14,0.0008,3607.00,0.380000,0.380000,2,2,"Radial Velocity",2018
"Kepler-763 c","Kepler-763",1.42000000,,4.09667624000,0.0466000000,938.00,182.9000,4999.00,0.800000,0.843000,1,3,"Transit",2023
"Kepler-347 d","Kepler-347",3.04000000,,85.51734400000,0.3802000000,482.00,12.7500,5592.00,1.000000,1.451000,1,3,"Transit",2023
"EPIC 248847494 b","EPIC 248847494",12.44199000,4.13179000000000e+03,3650.00000000000,4.5000000000,183.00,0.1900,4898.00,0.900000,2.700000,1,1,"Transit",2018
"WASP-184 b","WASP-184",14.90797000,1.81163100000000e+02,5.18170000000,0.0627000000,1480.00,669.0180,6000.00,1.230000,1.650000,1,1,"Transit",2019
"WASP-185 b","WASP-185",14.01125000,3.11473400000000e+02,9.38755000000,0.0904000000,1160.00,662.3252,5900.00,1.120000,1.500000,1,1,"Transit",2019
"Kepler-290 d","Kepler-290",0.86000000,,0.76401755300,0.0154000000,1589.00,1503.7900,5142.00,0.840000,0.755000,1,3,"Transit",2023
"Kepler-549 d","Kepler-549",4.20000000,,24.61480613000,0.1575000000,586.00,27.9300,5312.00,0.859000,0.986000,1,3,"Transit",2023
"KMT-2017-BLG-0165L b","KMT-2017-BLG-0165L",6.45000000,3.40000000000000e+01,,3.4500000000,,,,0.760000,,1,1,"Microlensing",2018
"Kepler-865 c","Kepler-865",0.89000000,,6.20920207000,0.0610000000,914.00,164.9800,5440.00,0.782000,0.885000,1,2,"Transit",2023
"TOI-150.01","TOI-150",14.06729500,7.97753300000000e+02,5.85748700000,0.0703700000,1404.50,750.9220,6255.00,1.351000,1.526000,1,1,"Transit",2019
"GJ 682 c","GJ 682",2.89000000,,57.32000000000,0.1760000000,190.08,0.0646,3028.00,0.270000,0.298255,1,2,"Radial Velocity",2014
"OGLE-2015-BLG-1649L b","OGLE-2015-BLG-1649L",13.20000000,8.07000000000000e+02,,2.0700000000,,,,0.340000,,1,1,"Microlensing",2019
"Kepler-2000 c","Kepler-2000",1.57000000,,20.61803480000,0.1228000000,359.00,3.9200,3757.00,0.581000,0.576000,1,2,"Transit",2023
"Kepler-448 c","KOI-12",12.00000000,6.99226000000000e+03,2500.00000000000,4.2000000000,184.72,0.2399,6635.00,1.500000,1.400000,1,2,"Transit Timing Variations",2017
"MOA-bin-29 b","MOA-bin-29",14.10000000,1.90000000000000e+02,,0.4800000000,,,,0.030000,,1,1,"Microlensing",2019
"HD 97048 b","HD 97048",13.30000000,7.94575000000000e+02,,130.0000000000,63.44,0.0024,10000.00,2.400000,2.250000,1,1,"Disk Kinematics",2019
"7 CMa b","7 CMa",13.40000000,,735.10000000000,1.7580000000,387.33,3.7372,4826.00,1.340000,4.870000,1,2,"Radial Velocity",2011
"Kepler-1983 b","Kepler-1983",2.33000000,,7.32851947000,0.0689000000,807.00,100.1300,5135.00,0.812000,0.874000,1,1,"Transit",2023
"NGTS-8 b","NGTS-8",12.21781000,2.95581900000000e+02,2.49970000000,0.0350000000,1345.00,503.0000,5241.00,0.890000,0.980000,1,1,"Transit",2019
"EPIC 205950854 c","K2-168",1.31000000,,8.05072200000,,960.60,,5502.70,0.877000,0.830000,1,2,"Transit",2019
"7 CMa c","7 CMa",13.90000000,,996.00000000000,2.1530000000,350.00,2.4917,4826.00,1.340000,4.870000,1,2,"Radial Velocity",2019
"Kepler-1990 c","Kepler-1990",0.98000000,,4.06844957000,0.0504000000,1170.00,442.0800,5751.00,1.028000,1.071000,1,2,"Transit",2023
"HD 220197 b","HD 220197",9.32000000,,1728.00000000000,2.7290000000,164.22,0.1332,5683.00,0.910000,0.980000,1,1,"Radial Velocity",2018
"K2-43 c","K2-43",2.42000000,,2.19888400000,,1093.70,,3840.60,0.571000,0.542000,1,2,"Transit",2019
"Kepler-763 d","Kepler-763",1.67000000,,6.50327035000,0.0634000000,804.00,98.8100,4999.00,0.800000,0.843000,1,3,"Transit",2023
"Kepler-1162 c","Kepler-1162",1.81000000,,59.28406400000,0.2832000000,401.00,6.1400,5225.00,0.861000,0.859000,1,2,"Transit",2023
"HD 213885 b","HD 213885",1.74500000,8.83000000000000e+00,1.00803500000,0.0201200000,2128.00,1882.9400,5978.00,1.068000,1.101100,1,2,"Transit",2019
"Kepler-896 c","Kepler-896",3.15000000,,29.54225660000,0.1792000000,515.00,16.5600,5510.00,0.877000,0.803000,1,2,"Transit",2023
"Kepler-1982 b","Kepler-1982",0.77000000,,3.82315697000,0.0511000000,1282.00,638.3800,6202.00,1.213000,1.122000,1,1,"Transit",2023
"HD 213885 c","HD 213885",4.71000000,,4.78503000000,0.0567980000,1265.40,426.5327,5978.00,1.068000,1.101100,1,2,"Radial Velocity",2019
"HAT-P-69 b","HAT-P-69",18.78628400,1.13783140000000e+03,4.78694910000,0.0655500000,1930.00,2320.1800,7394.00,1.648000,1.926000,1,1,"Transit",2019
"Kepler-2000 b","Kepler-2000",2.73000000,,6.38315913500,0.0562000000,530.00,18.7300,3757.00,0.581000,0.576000,1,2,"Transit",2023
"TOI-763 c","TOI-763",2.63000000,9.32000000000000e+00,12.27370000000,0.1011000000,800.00,64.3196,5450.00,0.917000,0.897000,1,2,"Transit",2020
"TOI-905 b","TOI-905",13.12573900,2.11992610000000e+02,3.73949400000,0.0466600000,1192.00,337.0000,5570.00,0.968000,0.918000,1,1,"Transit",2020
"TOI-564 b","TOI-564",11.43318000,4.64985290000000e+02,1.65114400000,0.0273400000,1714.00,1423.0000,5640.00,0.998000,1.088000,1,1,"Transit",2020
"Kepler-29 b","Kepler-29",2.55000000,5.00000000000000e+00,10.33974000000,0.0848200000,777.00,55.9000,5378.00,0.761000,0.732000,1,2,"Transit",2011
"Kepler-1674 b","Kepler-1674",3.20577490,,62.56110000000,0.3017000000,417.00,7.1300,5473.91,0.960000,0.877273,1,1,"Transit",2020
"Kepler-1675 b","Kepler-1675",3.12483349,,63.03820000000,0.3218500000,465.00,11.8000,5853.19,1.060000,1.128650,1,1,"Transit",2020
"HD 108236 b","HD 108236",1.61500000,,3.79596300000,0.0452700000,1099.00,312.1807,5660.00,0.869000,0.877000,1,5,"Transit",2020
"HD 164922 c","HD 164922",3.66000000,,75.74000000000,0.3410000000,400.50,6.2900,5390.00,0.926000,0.946000,1,4,"Radial Velocity",2016
"KMT-2019-BLG-0842L b","KMT-2019-BLG-0842L",3.19000000,1.02800000000000e+01,,3.3100000000,,,,0.760000,,1,1,"Microlensing",2020
"HD 108236 e","HD 108236",3.08300000,,19.59002500000,0.1367000000,636.00,35.0031,5660.00,0.869000,0.877000,1,5,"Transit",2020
"WASP-150 b","WASP-150",11.99363000,2.68884180000000e+03,5.64420700000,0.0694000000,1460.00,854.7074,6218.00,1.394000,1.651000,1,1,"Transit",2020
"NGTS-13 b","NGTS-13",12.80067800,1.53829720000000e+03,4.11902700000,0.0549000000,1605.00,1096.0000,5819.00,1.300000,1.788000,1,1,"Transit",2021
"MOA-2009-BLG-319L b","MOA-2009-BLG-319L",9.64000000,6.73000000000000e+01,,2.0300000000,,,,0.524000,,1,1,"Microlensing",2010
"Kepler-1685 b","Kepler-1685",2.57673985,,20.49050000000,0.1485000000,625.00,36.0100,5484.00,0.960000,0.835451,1,1,"Transit",2020
"Kepler-1686 b","Kepler-1686",1.42553017,,9.30987000000,0.0882700000,913.00,167.2000,5714.96,1.020000,1.199510,1,1,"Transit",2020
"KMT-2016-BLG-2397L b","KMT-2016-BLG-2397L",13.20000000,8.36000000000000e+02,,3.6400000000,,,,0.640000,,1,1,"Microlensing",2020
"OGLE-2017-BLG-0604L b","OGLE-2017-BLG-0604L",14.20000000,1.60000000000000e+02,,4.0600000000,,,,0.700000,,1,1,"Microlensing",2020
"OGLE-2017-BLG-1375L b","OGLE-2017-BLG-1375L",12.40000000,3.58500000000000e+03,,3.0400000000,,,,0.810000,,1,1,"Microlensing",2020
"NGTS-14 A b","NGTS-14 A",4.97679600,2.92403600000000e+01,3.53571730000,0.0403000000,1143.00,191.7820,5187.00,0.898000,0.842000,2,1,"Transit",2021
"HD 13808 b","HD 13808",3.35000000,,14.18150000000,0.1051900000,661.56,33.2278,5035.00,0.771000,0.781000,1,2,"Radial Velocity",2021
"OGLE-2015-BLG-1771L b","OGLE-2015-BLG-1771L",14.30000000,1.38000000000000e+02,,0.8500000000,,,,0.077000,,1,1,"Microlensing",2020
"OGLE-2018-BLG-1700L b","OGLE-2018-BLG-1700L",12.90000000,1.40000000000000e+03,,2.8000000000,,,,0.420000,,2,1,"Microlensing",2020
"Kepler-1687 b","Kepler-1687",1.65623882,,5.77954000000,0.0532000000,598.00,30.2200,4132.00,0.650000,0.726119,1,1,"Transit",2020
"Kepler-1689 b","Kepler-1689",0.94678642,,8.48300000000,0.0784000000,879.00,149.3000,5731.43,1.023000,0.996208,1,1,"Transit",2020
"Kepler-462 b","Kepler-462",3.00000000,5.39000000000000e+01,84.68660000000,0.4172000000,611.00,31.2690,7500.00,1.590000,1.570000,1,2,"Transit",2016
"HD 4760 b","HD 4760",12.30000000,,434.00000000000,1.1400000000,1198.67,654.9231,4076.00,1.050000,42.400000,1,1,"Radial Velocity",2021
"HD 110113 c","HD 110113",2.11384817,,6.74400000000,0.0680000000,990.00,199.9000,5732.00,0.997000,0.968000,1,2,"Radial Velocity",2021
"HD 96992 b","HD 96992",13.70000000,,514.00000000000,1.2400000000,557.72,19.1936,4725.00,0.960000,7.430000,1,1,"Radial Velocity",2021
